siteid,heat_elec,heat_elec_type,heat_elec_control,heat_elec_dist,heat_gas,heat_gas_type,heat_gas_control,heat_gas_dist,backup_elec,backup_gas,backup_other,num_bath,num_bedroom,MoveIn,year_built,homebusiness,homerent,primaryres,income_support,workingoutside,num_occupant,has_kid,has_senior,dish_load,washer_load,ac_use,heat_sp,heat_sp_night,avg_height,ua_ceiling,has_dryer,num_computer,cook_elec,cook_gas,has_washer,dryer_elec,dryer_gas,num_audio,num_charger,num_game,num_tv,y_kwh,y_kbtu,light_ex_watt,ua_floor,light_in_watt,bldg_type,level_floor,num_room,tot_sqft,tot_vol,fraction_window,hdd65,cdd65,population_city,pv,year_ref,vol_ref,flow_shower,ua_total,ua_wall,hw_elec,hw_gas,hw_btuhr,hw_kw,hw_solar,hw_conditioned,hw_year,hw_size,hw_type,ua_window
22699,1,hp,programmable,ducted,0,none,none,none,0,0,0,3,3,1991,1978,0,0,1,0,0,1,0,1,3,3,1,69,60,10,54.4000015258789,1,1,1,0,1,1,0,0,1,0,1,11509.2353515625,NA,380,157.55126953125,2036,Multiplex,2,12,1760,17600,0.129999995231628,4255,397,166107.25,0,2006.5,15,8,544.261291503906,200.760009765625,1,0,0,4.5,0,1,2003,50,tank,131.55000293254852
22938,1,faf,programmable,ducted,0,none,none,none,0,0,0,2,4,1978,1974,1,0,1,0,1,2,0,0,1,6,1,72,68,8,38.5,1,4,1,0,1,1,0,4,4,0,3,24571.248046875,NA,54,74.5200042724609,2282,Single,2,15,1875,15000,0.140000000596046,5747,787,282240.03125,0,1998,21,4.5,561.140014648438,263.670013427734,1,0,0,4.5,1,1,2004,55,tank,184.4500051736832
23028,1,hp,programmable,ducted,0,none,none,none,0,0,1,3,6,2007,1988,0,0,1,0,2,7,1,0,12,12,1,70,70,8,37.75,1,7,0,0,1,1,0,4,10,2,6,24776.912109375,NA,480,81,4353,Single,1.5,20,3020,24160,0.129999995231628,5747,787,282240.03125,0,2005,20,6,567.650024414063,246.100006103516,1,0,0,4.5,0,1,2005,66,tank,195.00000774860385
23049,0,none,none,none,1,faf,programmable,ducted,1,0,0,3,4,1986,1959,1,0,1,0,1,3,0,1,3,4,1,68,55,8,122.879997253418,1,2,1,1,1,1,0,3,8,0,1,9698.2666015625,80378.65478214725,607,113.76000213623,2913,Single,1.5,15,3240,25920,0.159999996423721,5453,957,442934.4375,0,1995,20,12,921.160034179688,436.52001953125,0,1,40000,0,0,1,1993,50,tank,237.5999967455864
23138,0,none,none,none,1,faf,thermostat,ducted,0,0,1,2,6,2006,1956,1,0,1,0,0,7,1,0,6,12,0,67,67,8,31.5500011444092,1,5,1,0,1,1,0,4,6,0,3,NA,NA,151,95.0400009155273,2053,Single,1,14,2524,20192,0.0900000035762787,6130,439,171385.890625,0,2001,17,1.75,656.279968261719,415.239990234375,0,1,32000,0,0,1,2000,40,tank,114.45000261068344
23178,0,none,none,none,1,faf,programmable,ducted,0,0,0,2,3,1992,1973,0,0,1,1,0,1,0,1,0,1,0,70,70,8,89.1000061035156,1,1,1,1,0,1,0,0,8,0,1,4637.498046875,96033.15831099858,65,76.6800003051758,1100,Single,1.5,12,2376,19008,0.0599999986588955,6488,617,442934.4375,0,1993.5,15.5,2.5,564.460021972656,338.080017089844,0,1,35000,0,0,1,1986,40,tank,60.599998712539666
23267,0,none,none,none,1,faf,programmable,ducted,1,0,0,1,2,1995,1931,0,0,1,0,0,1,0,0,0,2,0,65,60,8,19.0599994659424,1,1,1,0,1,1,0,1,4,0,1,5797.861328125,42251.95686337587,800,68.0400009155273,2963,Single,2,10,2345,18760,0.200000002980232,4415,374,272743.1875,0,2005,15,1,675.390014648438,370.239990234375,0,1,40000,0,0,1,2002,50,tank,208.45000451803207
23384,1,baseboard,thermostat,zonal,0,none,none,none,1,0,0,1,1,2005,1945,1,0,1,0,1,1,0,0,0,6,1,65,60,8,175.389999389648,1,NA,1,0,0,1,0,1,2,0,2,17914.91015625,NA,835,117.716461181641,3109,Single,1,5,867,6936,0.239999994635582,4415,374,272743.1875,0,2002,21,2,774.396484375,403.839996337891,1,0,0,4.5,0,1,2008,40,tank,77.44999796152113
23618,1,baseboard,thermostat,zonal,0,none,none,none,1,0,0,2,3,1986,1976,0,0,1,1,0,1,0,0,0,3,1,70,65,8,23.9200000762939,1,1,1,0,1,1,0,0,1,0,1,15430.8828125,NA,155,35.6255340576172,2030,Single,1,10,1196,9568,0.140000000596046,5729,660,442934.4375,0,1990.5,22.5,5,256.225555419922,119.68000793457,1,0,0,4.5,0,0,2004,38,tank,77.00000166893005
24203,1,hp,programmable,ducted,0,none,none,none,0,0,0,3,4,1997,1997,0,0,1,0,3,4,1,0,3,4,1,70,70,8,25.2000007629395,1,2,1,0,1,1,0,2,6,2,5,24445.65625,NA,150,26.6431713104248,3199,Single,2,15,2016,16128,0.109999999403954,5753,710,171385.890625,0,2000,25,6,258.823181152344,126.879997253418,1,0,0,4.5,0,0,1997,50,tank,80.09999787807463
24375,1,faf,programmable,ducted,0,none,none,none,1,0,0,2,2,2008,1995,0,0,1,0,0,1,0,0,0,3,0,69,65,8,28.019998550415,1,1,0,0,0,1,0,1,3,0,1,10521.115234375,NA,720,104,1729,Single,1,10,1401,11208,0.109999999403954,6266,256,166107.25,0,2006.5,15,4,288.419982910156,98.7999954223633,1,0,0,4.5,0,1,1995,50,tank,57.59999847412109
24378,0,none,none,none,1,faf,programmable,ducted,0,0,0,2,3,1971,1958,1,0,1,0,0,2,0,1,3,10,1,68,64,8,25.4799995422363,1,1,1,0,1,1,0,3,7,1,4,10425.2470703125,53724.64453338628,440,142.520004272461,3060,Single,1.5,14,2250,18000,0.109999999403954,6130,439,282240.03125,0,1989.3333333333333,20,5,525.460021972656,259.559997558594,0,1,35500,0,0,1,1998,40,tank,97.89999783039093
24400,1,hp,programmable,ducted,0,none,none,none,0,0,1,3,4,2005,1978,0,0,1,0,1,3,1,0,5,12,1,70,65,9,127.5,1,2,1,0,1,1,0,0,4,1,3,24744.724609375,NA,1000,88.5600051879883,4360,Single,2,16,2208,19872,0.170000001788139,4673,287,166107.25,0,2004,22,4,869.690063476563,343.080017089844,1,0,0,9,0,1,2010,50,tank,294.95000827312475
24495,1,hp,thermostat,zonal,0,none,none,none,0,0,1,2,3,1998,1978,1,0,1,0,1,2,0,0,0,4,1,69,69,8,191.599990844727,1,11,1,0,1,1,0,4,5,0,4,NA,NA,520,129.567199707031,1417,Single,1,13,2395,19160,0.209999993443489,4631,154,65402.81640625,0,1993,15,2,762.477172851563,209.759994506836,1,0,0,4.5,0,0,2009,50,tank,231.5500050187111
24684,1,baseboard,thermostat,zonal,0,none,none,none,1,0,0,2,3,1961,1960,0,0,1,0,0,1,0,1,0,3,0,71,71,8,52.2750015258789,1,NA,1,0,1,1,0,0,3,0,3,31741.96875,NA,195,128.151962280273,1094,Single,1,12,2034,16272,0.150000005960464,6130,439,171385.890625,0,1999,18.333333333333332,4.5,651.516967773438,330.839996337891,1,0,0,3.799999952,0,1,2003,50,tank,140.25000303983688
24808,0,none,none,none,1,faf,programmable,ducted,0,0,0,2,3,2000,1980,0,0,1,0,0,2,0,1,5,3,1,70,68,8,24.7600002288818,1,1,0,1,1,1,0,1,4,0,1,12590.9189453125,104087.11674383571,570,5.16424131393433,2446,Single,1,10,1238,9904,0.109999999403954,5020,839,442934.4375,0,2004,21,4,216.02424621582,123.400009155273,0,1,40000,0,0,0,1998,50,tank,62.7000013589859
